id,name,status,net,window_start,window_end,is_crewed,rocket_name,rocket_full_name,rocket_manufacturer,provider,mission_type,orbit,pad_name,location_name,location_country
983ef2b2-df44-4af2-93f9-4263dd6b4571,Thor DM-21 Ablestar | Transit 4A & Injun-1 & Solrad 3,Launch Successful,1961-06-29T04:23:00Z,1961-06-29T04:23:00Z,1961-06-29T04:23:00Z,,Thor DM-21 Ablestar,Thor DM-21 Ablestar,United States Air Force,United States Air Force,,,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",
fb8235f4-31ed-4726-a03a-e5322ab9cd5a,Scout X-1 | S-55,Launch Failure,1961-06-30T17:09:00Z,1961-06-30T17:09:00Z,1961-06-30T17:09:00Z,,Scout X-1,Scout X-1,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,,Launch Area 3,"Wallops Flight Facility, Virginia, USA",
8c4ef44b-a0ad-486f-b71a-f178017c6a2e,Thor DM-21 Agena-B | Discoverer 26,Launch Successful,1961-07-07T23:29:48Z,1961-07-07T23:29:48Z,1961-07-07T23:29:48Z,,Thor DM-21 Agena-B,Thor DM-21 Agena-B,United States Air Force,United States Air Force,,,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",
ca2c7e34-2d2b-471d-83e4-5371ab8dd11f,Delta DM-19 | Tiros-3,Launch Successful,1961-07-12T10:25:06Z,1961-07-12T10:25:06Z,1961-07-12T10:25:06Z,,Delta DM-19,Thor-Delta,United States Air Force,United States Air Force,,,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",
ab40c85f-c07c-4735-ae84-ba41dca2569e,Atlas LV-3A | MIDAS 3,Launch Successful,1961-07-12T15:11:46Z,1961-07-12T15:11:46Z,1961-07-12T15:11:46Z,,Atlas Agena B,Atlas LV-3 Agena B,United States Air Force,United States Air Force,,,Space Launch Complex 3E,"Vandenberg SFB, CA, USA",
4c732b42-e40e-4ee0-a917-bf427cea9f29,Redstone MRLV | Mercury-Redstone 4,Launch Successful,1961-07-21T12:20:00Z,1961-07-21T12:20:00Z,1961-07-21T12:20:00Z,,Redstone,Redstone MRLV,Chrysler,National Aeronautics and Space Administration,Human Exploration,Suborbital,Launch Complex 5,"Cape Canaveral SFS, FL, USA",
5c685372-5050-401f-9d06-cf03a5ec4fa0,Thor DM-21 Agena-B | KH-5 4,Launch Failure,1961-07-21T22:35:00Z,1961-07-21T22:35:00Z,1961-07-21T22:35:00Z,,Thor DM-21 Agena-B,Thor DM-21 Agena-B,United States Air Force,United States Air Force,Government/Top Secret,Low Earth Orbit,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",
b7e331d8-dece-4041-8261-979f542f38de,Thor DM-21 Agena-B | Discoverer 28,Launch Failure,1961-08-04T00:01:00Z,1961-08-04T00:01:00Z,1961-08-04T00:01:00Z,,Thor DM-21 Agena-B,Thor DM-21 Agena-B,United States Air Force,United States Air Force,,,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",
1bf16c97-1401-4948-b805-3bab2c77fdbc,Vostok-K | Vostok 2,Launch Successful,1961-08-06T06:00:00Z,1961-08-06T06:00:00Z,1961-08-06T06:00:00Z,,Vostok,Vostok-K,Soviet Space Program,Soviet Space Program,Human Exploration,Low Earth Orbit,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",
d859322c-ed6f-4de8-ab7a-8b3a19f0db60,Delta DM-19 | Explorer 12,Launch Successful,1961-08-16T03:21:05Z,1961-08-16T03:21:05Z,1961-08-16T03:21:05Z,,Delta DM-19,Thor-Delta,United States Air Force,United States Air Force,,,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",
